OrderID,Odate,Sdate,City,State,Country,ZIP,Region,ProdID,Category,ProdName,Sales,Quantity,Discount,Profit,Shipping Cost
CA-2013-152156,2013-11-09,2013-11-12,Henderson,Kentucky,United States,42420,South,FUR-BO-10001798,Furniture,Bush Somerset Collection Bookcase,261.96,2,0,41.9136,54.1
CA-2013-152156,2013-11-09,2013-11-12,Henderson,Kentucky,United States,42420,South,FUR-CH-10000454,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,161.71
US-2012-108966,2012-10-11,2012-10-18,Fort Lauderdale,Florida,United States,33311,South,FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,79.69
US-2012-108966,2012-10-11,2012-10-18,Fort Lauderdale,Florida,United States,33311,South,OFF-ST-10000760,Office Supplies,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,2.83
CA-2011-115812,2011-06-09,2011-06-14,Los Angeles,California,United States,90032,West,OFF-AR-10002833,Office Supplies,Newell 322,7.28,4,0,1.9656,0.49
CA-2011-115812,2011-06-09,2011-06-14,Los Angeles,California,United States,90032,West,TEC-PH-10002275,Technology,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,61.59
CA-2011-115812,2011-06-09,2011-06-14,Los Angeles,California,United States,90032,West,OFF-AP-10002892,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47,8.23
CA-2011-115812,2011-06-09,2011-06-14,Los Angeles,California,United States,90032,West,FUR-TA-10001539,Furniture,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,82.17
CA-2014-114412,2014-04-16,2014-04-21,Concord,North Carolina,United States,28027,South,OFF-PA-10002365,Office Supplies,Xerox 1967,15.552,3,0.2,5.4432,1.36
CA-2013-161389,2013-12-06,2013-12-11,Seattle,Washington,United States,98103,West,OFF-BI-10003656,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,53.91
US-2012-118983,2012-11-22,2012-11-26,Fort Worth,Texas,United States,76106,Central,OFF-BI-10000756,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,0.25
CA-2011-105893,2011-11-11,2011-11-18,Madison,Wisconsin,United States,53711,Central,OFF-ST-10004186,Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176,50.69
CA-2011-143336,2011-08-27,2011-09-01,San Francisco,California,United States,94109,West,OFF-AR-10003056,Office Supplies,Newell 341,8.56,2,0,2.4824,1.58
CA-2011-143336,2011-08-27,2011-09-01,San Francisco,California,United States,94109,West,TEC-PH-10001949,Technology,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,14.75
CA-2013-137330,2013-12-10,2013-12-14,Fremont,Nebraska,United States,68025,Central,OFF-AR-10000246,Office Supplies,Newell 318,19.46,7,0,5.0596,0.62
CA-2013-137330,2013-12-10,2013-12-14,Fremont,Nebraska,United States,68025,Central,OFF-AP-10001492,Office Supplies,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,1.06
CA-2012-106320,2012-09-25,2012-09-30,Orem,Utah,United States,84057,West,FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649,42.77
CA-2013-121755,2013-01-16,2013-01-20,Los Angeles,California,United States,90049,West,OFF-BI-10001634,Office Supplies,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,0.48
US-2012-150630,2012-09-17,2012-09-21,Philadelphia,Pennsylvania,United States,19140,East,FUR-BO-10004834,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,242.6
US-2012-150630,2012-09-17,2012-09-21,Philadelphia,Pennsylvania,United States,19140,East,OFF-BI-10000474,Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,0.75
US-2012-150630,2012-09-17,2012-09-21,Philadelphia,Pennsylvania,United States,19140,East,OFF-EN-10001509,Office Supplies,Poly String Tie Envelopes,3.264,2,0.2,1.1016,0.29
US-2012-150630,2012-09-17,2012-09-21,Philadelphia,Pennsylvania,United States,19140,East,OFF-AR-10004042,Office Supplies,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,7.53
US-2012-150630,2012-09-17,2012-09-21,Philadelphia,Pennsylvania,United States,19140,East,OFF-AR-10001683,Office Supplies,Lumber Crayons,15.76,2,0.2,3.546,1.56
CA-2014-107727,2014-10-20,2014-10-24,Houston,Texas,United States,77095,Central,OFF-PA-10000249,Office Supplies,Staples,29.472,3,0.2,9.9468,3.5
CA-2013-117590,2013-12-09,2013-12-11,Richardson,Texas,United States,75080,Central,FUR-FU-10003664,Furniture,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,41.06
CA-2012-117415,2012-12-27,2012-12-31,Houston,Texas,United States,77041,Central,OFF-EN-10002986,Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,3.49
CA-2012-117415,2012-12-27,2012-12-31,Houston,Texas,United States,77041,Central,FUR-CH-10004218,Furniture,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,22.75
CA-2012-117415,2012-12-27,2012-12-31,Houston,Texas,United States,77041,Central,TEC-PH-10000486,Technology,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,40.88
CA-2013-101343,2013-07-18,2013-07-23,Los Angeles,California,United States,90049,West,OFF-ST-10003479,Office Supplies,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894,4.31
CA-2014-139619,2014-09-20,2014-09-24,Melbourne,Florida,United States,32935,South,OFF-ST-10003282,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,10.91
CA-2013-118255,2013-03-12,2013-03-14,Eagan,Minnesota,United States,55122,Central,OFF-BI-10003291,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062,1.3
CA-2011-146703,2011-10-20,2011-10-25,Westland,Michigan,United States,48185,Central,OFF-ST-10001713,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784,20.47
CA-2013-169194,2013-06-21,2013-06-26,Dover,Delaware,United States,19901,East,TEC-PH-10003988,Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,1.43
CA-2012-115742,2012-04-18,2012-04-22,New Albany,Indiana,United States,47150,Central,OFF-BI-10004410,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634,3.47
CA-2012-115742,2012-04-18,2012-04-22,New Albany,Indiana,United States,47150,Central,FUR-FU-10001706,Furniture,Longer-Life Soft White Bulbs,6.16,2,0,2.9568,0.35
CA-2012-115742,2012-04-18,2012-04-22,New Albany,Indiana,United States,47150,Central,FUR-CH-10003061,Furniture,"Global Leather Task Chair, Black",89.99,1,0,17.0981,8.69
CA-2013-105816,2013-12-12,2013-12-18,New York City,New York,United States,10024,East,TEC-PH-10002447,Technology,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855,22.48
CA-2013-111682,2013-06-18,2013-06-19,Troy,New York,United States,12180,East,OFF-ST-10000604,Office Supplies,Home/Office Personal File Carts,208.56,6,0,52.14,42.76
CA-2013-111682,2013-06-18,2013-06-19,Troy,New York,United States,12180,East,FUR-CH-10003968,Furniture,Novimex Turbo Task Chair,319.41,5,0.1,7.098,65.72
CA-2013-111682,2013-06-18,2013-06-19,Troy,New York,United States,12180,East,OFF-PA-10000587,Office Supplies,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,2.69
CA-2013-111682,2013-06-18,2013-06-19,Troy,New York,United States,12180,East,OFF-BI-10001460,Office Supplies,Plastic Binding Combs,48.48,4,0.2,16.362,10.18
CA-2013-111682,2013-06-18,2013-06-19,Troy,New York,United States,12180,East,OFF-AR-10001868,Office Supplies,Prang Dustless Chalk Sticks,1.68,1,0,0.84,0.43
CA-2012-135545,2012-11-24,2012-11-30,Los Angeles,California,United States,90004,West,OFF-BI-10001078,Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,1.51
CA-2012-135545,2012-11-24,2012-11-30,Los Angeles,California,United States,90004,West,OFF-PA-10003892,Office Supplies,Xerox 1943,146.73,3,0,68.9631,4.93
US-2012-164175,2012-04-30,2012-05-05,Chicago,Illinois,United States,60610,Central,FUR-CH-10001146,Furniture,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,14.19
CA-2011-106376,2011-12-05,2011-12-10,Gilbert,Arizona,United States,85234,West,OFF-AR-10002671,Office Supplies,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,104.67
CA-2013-119823,2013-06-05,2013-06-07,Springfield,Virginia,United States,22153,South,OFF-PA-10000482,Office Supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,23.21
CA-2013-106075,2013-09-19,2013-09-24,New York City,New York,United States,10009,East,OFF-BI-10004654,Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,0.26
US-2012-134026,2012-04-26,2012-05-02,Memphis,Tennessee,United States,38109,South,FUR-CH-10000513,Furniture,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,81.61
US-2012-134026,2012-04-26,2012-05-02,Memphis,Tennessee,United States,38109,South,FUR-FU-10003708,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,5.04
US-2014-118038,2014-12-10,2014-12-12,Houston,Texas,United States,77041,Central,OFF-BI-10004182,Office Supplies,Economy Binders,1.248,3,0.8,-1.9344,0.1
US-2014-118038,2014-12-10,2014-12-12,Houston,Texas,United States,77041,Central,FUR-FU-10000260,Furniture,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,1.08
US-2011-147606,2011-11-26,2011-12-01,Houston,Texas,United States,77070,Central,FUR-FU-10003194,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,1.35
CA-2013-127208,2013-06-13,2013-06-16,Decatur,Alabama,United States,35601,South,OFF-AP-10002118,Office Supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032,46.81
CA-2011-139451,2011-10-12,2011-10-16,San Francisco,California,United States,94122,West,OFF-AR-10002053,Office Supplies,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172,0.45
CA-2011-139451,2011-10-12,2011-10-16,San Francisco,California,United States,94122,West,OFF-ST-10002370,Office Supplies,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031,1.54
US-2014-119662,2014-11-14,2014-11-17,Chicago,Illinois,United States,60623,Central,OFF-ST-10003656,Office Supplies,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,40.32
CA-2014-140088,2014-05-29,2014-05-31,Columbia,South Carolina,United States,29203,South,FUR-CH-10000863,Furniture,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156,32.46
CA-2014-155558,2014-10-27,2014-11-03,Rochester,Minnesota,United States,55901,Central,OFF-LA-10000134,Office Supplies,Avery 511,6.16,2,0,2.9568,0.23
CA-2013-159695,2013-04-06,2013-04-11,Houston,Texas,United States,77095,Central,OFF-ST-10003442,Office Supplies,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,21.89
CA-2013-109806,2013-09-18,2013-09-23,Los Angeles,California,United States,90036,West,TEC-PH-10004093,Technology,Panasonic Kx-TS550,73.584,2,0.2,8.2782,3.92
CA-2013-109806,2013-09-18,2013-09-23,Los Angeles,California,United States,90036,West,OFF-PA-10000304,Office Supplies,Xerox 1995,6.48,1,0,3.1104,0.52
CA-2012-149587,2012-01-31,2012-02-05,Minneapolis,Minnesota,United States,55407,Central,FUR-FU-10003799,Furniture,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354,4.62
CA-2012-149587,2012-01-31,2012-02-05,Minneapolis,Minnesota,United States,55407,Central,OFF-BI-10002852,Office Supplies,Ibico Standard Transparent Covers,32.96,2,0,16.1504,0.93
CA-2014-161018,2014-11-10,2014-11-12,New York City,New York,United States,10009,East,FUR-FU-10000629,Furniture,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426,19.49
CA-2014-157833,2014-06-18,2014-06-21,San Francisco,California,United States,94122,West,OFF-BI-10001721,Office Supplies,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,9.52
CA-2013-158568,2013-08-30,2013-09-03,Chicago,Illinois,United States,60610,Central,OFF-PA-10003256,Office Supplies,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,7.97
CA-2013-158568,2013-08-30,2013-09-03,Chicago,Illinois,United States,60610,Central,TEC-AC-10001767,Technology,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,10.01
CA-2013-129903,2013-12-02,2013-12-05,Rochester,Minnesota,United States,55901,Central,OFF-PA-10004040,Office Supplies,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208,5.1
US-2012-156867,2012-11-13,2012-11-17,Aurora,Colorado,United States,80013,West,TEC-AC-10001552,Technology,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758,10.35
US-2012-156867,2012-11-13,2012-11-17,Aurora,Colorado,United States,80013,West,OFF-BI-10002794,Office Supplies,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174,1.98
CA-2014-119004,2014-11-24,2014-11-29,Charlotte,North Carolina,United States,28205,South,TEC-AC-10003499,Technology,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016,4.59
CA-2014-119004,2014-11-24,2014-11-29,Charlotte,North Carolina,United States,28205,South,OFF-AR-10000390,Office Supplies,Newell Chalk Holder,3.304,1,0.2,1.0738,0.23
CA-2012-129476,2012-10-15,2012-10-20,Orland Park,Illinois,United States,60462,Central,TEC-AC-10000844,Technology,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992,13.56
CA-2013-128867,2013-11-04,2013-11-11,Urbandale,Iowa,United States,50322,Central,OFF-AR-10000380,Office Supplies,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788,7.23
CA-2013-128867,2013-11-04,2013-11-11,Urbandale,Iowa,United States,50322,Central,OFF-BI-10003981,Office Supplies,"Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476,1.75
CA-2011-115259,2011-08-25,2011-08-27,Columbus,Ohio,United States,43229,East,OFF-EN-10002600,Office Supplies,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652,0.9
CA-2011-115259,2011-08-25,2011-08-27,Columbus,Ohio,United States,43229,East,OFF-PA-10004965,Office Supplies,Xerox 1921,23.976,3,0.2,7.4925,3.3
CA-2012-110457,2012-03-02,2012-03-06,Seattle,Washington,United States,98103,West,FUR-TA-10001768,Furniture,Hon Racetrack Conference Tables,787.53,3,0,165.3813,25.65
US-2012-136476,2012-04-05,2012-04-10,Bristol,Tennessee,United States,37620,South,OFF-BI-10003650,Office Supplies,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156,8.81
CA-2013-103730,2013-06-13,2013-06-16,Wilmington,Delaware,United States,19805,East,OFF-BI-10003910,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0,13.878,12.75
CA-2013-103730,2013-06-13,2013-06-16,Wilmington,Delaware,United States,19805,East,OFF-ST-10000777,Office Supplies,"Companion Letter/Legal File, Black",226.56,6,0,63.4368,40.25
CA-2013-103730,2013-06-13,2013-06-16,Wilmington,Delaware,United States,19805,East,TEC-PH-10003875,Technology,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0,19.7316,7.11
US-2011-152030,2011-12-26,2011-12-28,Houston,Texas,United States,77041,Central,FUR-CH-10004063,Furniture,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794,58.54
US-2014-107272,2014-11-06,2014-11-13,Phoenix,Arizona,United States,85023,West,OFF-BI-10003274,Office Supplies,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308,0.22
US-2014-107272,2014-11-06,2014-11-13,Phoenix,Arizona,United States,85023,West,OFF-ST-10002974,Office Supplies,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499,23.09
US-2013-125969,2013-11-07,2013-11-11,Los Angeles,California,United States,90004,West,FUR-FU-10003773,Furniture,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0,26.2416,23.12
US-2014-164147,2014-02-03,2014-02-06,Columbus,Ohio,United States,43229,East,TEC-PH-10002293,Technology,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994,4.1
US-2014-164147,2014-02-03,2014-02-06,Columbus,Ohio,United States,43229,East,OFF-FA-10002780,Office Supplies,Staples,21.456,9,0.2,6.9732,1.58
CA-2013-145583,2013-10-14,2013-10-20,Roseville,California,United States,95661,West,OFF-PA-10001804,Office Supplies,Xerox 195,20.04,3,0,9.6192,1.34
CA-2013-145583,2013-10-14,2013-10-20,Roseville,California,United States,95661,West,OFF-AR-10001149,Office Supplies,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0,3.456,1.14
CA-2013-145583,2013-10-14,2013-10-20,Roseville,California,United States,95661,West,OFF-FA-10002988,Office Supplies,Ideal Clamps,4.02,2,0,1.9698,0.23
CA-2013-145583,2013-10-14,2013-10-20,Roseville,California,United States,95661,West,OFF-SU-10001218,Office Supplies,Fiskars Softgrip Scissors,65.88,6,0,18.4464,3.06
CA-2013-145583,2013-10-14,2013-10-20,Roseville,California,United States,95661,West,FUR-FU-10001706,Furniture,Longer-Life Soft White Bulbs,43.12,14,0,20.6976,3.78
CA-2014-106180,2014-09-19,2014-09-24,San Francisco,California,United States,94122,West,OFF-AR-10000940,Office Supplies,Newell 343,8.82,3,0,2.3814,0.87
CA-2014-106180,2014-09-19,2014-09-24,San Francisco,California,United States,94122,West,OFF-EN-10004030,Office Supplies,Convenience Packs of Business Envelopes,10.86,3,0,5.1042,1.18
CA-2014-155376,2014-12-23,2014-12-28,Independence,Missouri,United States,64055,Central,OFF-AP-10001058,Office Supplies,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0,218.2518,95.19
CA-2012-110744,2012-09-07,2012-09-12,Pasadena,California,United States,91104,West,OFF-ST-10003656,Office Supplies,Safco Industrial Wire Shelving,671.93,7,0,20.1579,46.81
CA-2013-114489,2013-12-06,2013-12-10,Franklin,Wisconsin,United States,53132,Central,TEC-PH-10000215,Technology,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0,103.8015,49.54
CA-2013-114489,2013-12-06,2013-12-10,Franklin,Wisconsin,United States,53132,Central,TEC-PH-10001448,Technology,Anker Astro 15000mAh USB Portable Charger,149.97,3,0,5.9988,18.15
CA-2013-114489,2013-12-06,2013-12-10,Franklin,Wisconsin,United States,53132,Central,OFF-BI-10002735,Office Supplies,GBC Prestige Therm-A-Bind Covers,171.55,5,0,80.6285,16.79
CA-2013-158834,2013-03-14,2013-03-17,Scottsdale,Arizona,United States,85254,West,OFF-AP-10000326,Office Supplies,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766,63.1
CA-2012-124919,2012-05-31,2012-06-02,San Jose,California,United States,95123,West,OFF-PA-10001950,Office Supplies,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0,26.271,7.79
CA-2012-124919,2012-05-31,2012-06-02,San Jose,California,United States,95123,West,OFF-PA-10002254,Office Supplies,Xerox 1883,105.52,4,0,48.5392,17.87
CA-2012-118948,2012-05-28,2012-06-03,Seattle,Washington,United States,98105,West,OFF-AR-10001547,Office Supplies,Newell 311,6.63,3,0,1.7901,0.69
CA-2011-104269,2011-03-01,2011-03-06,Seattle,Washington,United States,98115,West,FUR-CH-10004063,Furniture,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764,47.89
